job_id	job_name	state	exit_code	submit	start	end	elapsed	node_list
8236797	adp-cond-swe-play-trajectori	FAILED	1:0	2026-06-01T22:34:11	2026-06-01T22:34:21	2026-06-01T22:34:36	00:00:15	babel-v5-20
8236798	adp-cond-mini-coder	FAILED	1:0	2026-06-01T22:34:11	2026-06-01T22:34:58	2026-06-01T22:50:04	00:15:06	babel-u9-28
8236799	adp-cond-coderforge_preview	FAILED	1:0	2026-06-01T22:34:11	2026-06-01T22:34:58	2026-06-01T22:38:24	00:03:26	babel-v5-20
8236800	adp-cond-nebius_SWE-rebench-	FAILED	1:0	2026-06-01T22:34:11	2026-06-01T22:35:35	2026-06-01T22:42:51	00:07:16	babel-w5-32
8236801	adp-cond-kwai-klear_swe-smit	FAILED	1:0	2026-06-01T22:34:11	2026-06-01T22:36:13	2026-06-01T22:50:13	00:14:00	babel-w5-20
8236802	adp-cond-logicstar_swe-star	CANCELLED by 17414	0:0	2026-06-01T22:34:11	2026-06-01T22:38:29	2026-06-01T23:00:02	00:21:33	babel-v5-20
8236803	adp-cond-scale_swe_distilled	CANCELLED by 17414	0:0	2026-06-01T22:34:11	2026-06-01T22:39:03	2026-06-01T23:00:02	00:20:59	babel-w5-16
8236804	adp-cond-hybrid-gym	FAILED	1:0	2026-06-01T22:34:11	2026-06-01T22:39:37	2026-06-01T22:40:05	00:00:28	babel-s9-16
8236805	adp-cond-nvidia_SWE-Zero-ope	CANCELLED by 17414	0:0	2026-06-01T22:34:11	2026-06-01T22:40:10	2026-06-01T23:00:01	00:19:51	babel-s9-16
8236806	adp-cond-gair_davinci_dev	FAILED	1:0	2026-06-01T22:34:11	2026-06-01T22:40:44	2026-06-01T22:40:47	00:00:03	babel-w5-28
8236807	adp-cond-allenai_Sera-4.6-Li	FAILED	1:0	2026-06-01T22:34:11	2026-06-01T22:41:18	2026-06-01T22:43:14	00:01:56	babel-w5-28
8236808	adp-cond-nebius_SWE-agent-tr	CANCELLED by 17414	0:0	2026-06-01T22:34:11	2026-06-01T22:41:51	2026-06-01T23:00:01	00:18:10	babel-x5-20
8237048	adp-cond-swe-play-trajectori	FAILED	1:0	2026-06-01T23:00:22	2026-06-01T23:00:46	2026-06-01T23:18:01	00:17:15	babel-w5-16
8237049	adp-cond-mini-coder	FAILED	1:0	2026-06-01T23:00:22	2026-06-01T23:00:46	2026-06-01T23:18:57	00:18:11	babel-v5-20
8237050	adp-cond-coderforge_preview	FAILED	1:0	2026-06-01T23:00:22	2026-06-01T23:02:12	2026-06-01T23:05:19	00:03:07	babel-x5-20
8237051	adp-cond-nebius_SWE-rebench-	FAILED	1:0	2026-06-01T23:00:22	2026-06-01T23:02:57	2026-06-01T23:18:59	00:16:02	babel-w5-28
8237052	adp-cond-kwai-klear_swe-smit	FAILED	1:0	2026-06-01T23:00:22	2026-06-01T23:03:38	2026-06-01T23:18:17	00:14:39	babel-x9-24
8237053	adp-cond-logicstar_swe-star	CANCELLED by 17414	0:0	2026-06-01T23:00:22	2026-06-01T23:04:20	2026-06-01T23:22:19	00:17:59	babel-p9-16
8237054	adp-cond-scale_swe_distilled	FAILED	1:0	2026-06-01T23:00:22	2026-06-01T23:04:20	2026-06-01T23:15:46	00:11:26	babel-p9-32
8237055	adp-cond-hybrid-gym	FAILED	1:0	2026-06-01T23:00:22	2026-06-01T23:05:36	2026-06-01T23:18:16	00:12:40	babel-w5-32
8237056	adp-cond-nvidia_SWE-Zero-ope	CANCELLED by 17414	0:0	2026-06-01T23:00:22	2026-06-01T23:05:36	2026-06-01T23:22:19	00:16:43	babel-x5-20
8237057	adp-cond-gair_davinci_dev	FAILED	1:0	2026-06-01T23:00:22	2026-06-01T23:13:03	2026-06-01T23:13:07	00:00:04	babel-m5-32
8237058	adp-cond-allenai_Sera-4.6-Li	FAILED	1:0	2026-06-01T23:00:22	2026-06-01T23:13:37	2026-06-01T23:16:05	00:02:28	babel-m5-32
8237059	adp-cond-nebius_SWE-agent-tr	CANCELLED by 17414	0:0	2026-06-01T23:00:22	2026-06-01T23:14:11	2026-06-01T23:22:19	00:08:08	babel-t9-20
8237226	adp-cond-swe-play-trajectori	CANCELLED by 17414	0:0	2026-06-01T23:22:21	2026-06-01T23:22:26	2026-06-01T23:43:58	00:21:32	babel-p9-16
8237227	adp-cond-mini-coder	CANCELLED by 17414	0:0	2026-06-01T23:22:21	2026-06-01T23:22:26	2026-06-01T23:43:58	00:21:32	babel-t9-20
8237228	adp-cond-coderforge_preview	FAILED	1:0	2026-06-01T23:22:21	2026-06-01T23:22:26	2026-06-01T23:25:32	00:03:06	babel-x5-20
8237229	adp-cond-nebius_SWE-rebench-	FAILED	1:0	2026-06-01T23:22:21	2026-06-01T23:22:26	2026-06-01T23:41:35	00:19:09	babel-v5-20
8237230	adp-cond-kwai-klear_swe-smit	CANCELLED by 17414	0:0	2026-06-01T23:22:21	2026-06-01T23:23:03	2026-06-01T23:43:58	00:20:55	babel-w5-20
8237231	adp-cond-logicstar_swe-star	CANCELLED by 17414	0:0	2026-06-01T23:22:21	2026-06-01T23:23:35	2026-06-01T23:43:58	00:20:23	babel-m5-20
8237232	adp-cond-scale_swe_distilled	FAILED	1:0	2026-06-01T23:22:21	2026-06-01T23:24:07	2026-06-01T23:39:44	00:15:37	babel-s5-32
8237233	adp-cond-hybrid-gym	CANCELLED by 17414	0:0	2026-06-01T23:22:21	2026-06-01T23:24:39	2026-06-01T23:43:58	00:19:19	babel-x9-24
8237234	adp-cond-nvidia_SWE-Zero-ope	CANCELLED by 17414	0:0	2026-06-01T23:22:21	2026-06-01T23:24:39	2026-06-01T23:43:58	00:19:19	babel-u9-28
8237235	adp-cond-gair_davinci_dev	FAILED	1:0	2026-06-01T23:22:21	2026-06-01T23:25:52	2026-06-01T23:25:56	00:00:04	babel-o9-32
